age,job,marital,education,default,housing,loan,contact,month,poutcome,y
50,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
41,admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
54,technician,married,tertiary,no,no,no,unknown,may,unknown,no
58,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
30,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
33,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
47,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
50,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
32,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
40,self-employed,married,secondary,no,yes,no,unknown,may,unknown,no
37,management,married,tertiary,no,yes,no,unknown,may,unknown,no
54,technician,single,unknown,no,yes,no,unknown,may,unknown,no
24,student,single,secondary,no,yes,no,unknown,may,unknown,no
54,management,married,tertiary,no,no,no,unknown,may,unknown,no
34,technician,married,secondary,no,yes,no,unknown,may,unknown,no
56,technician,divorced,primary,no,yes,no,unknown,may,unknown,no
31,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
24,student,single,secondary,no,yes,no,unknown,may,unknown,no
42,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
57,technician,married,secondary,no,yes,no,unknown,may,unknown,no
42,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
51,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
57,retired,married,secondary,no,yes,no,unknown,may,unknown,no
36,services,single,secondary,no,yes,no,unknown,may,unknown,no
53,services,married,unknown,no,yes,no,unknown,may,unknown,no
50,technician,married,secondary,no,yes,no,unknown,may,unknown,no
54,management,married,tertiary,no,yes,no,unknown,may,unknown,no
55,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
44,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
43,management,married,unknown,no,yes,no,unknown,may,unknown,no
56,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
54,technician,married,unknown,no,yes,no,unknown,may,unknown,no
55,services,divorced,primary,no,yes,yes,unknown,may,unknown,no
37,services,divorced,secondary,no,yes,yes,unknown,may,unknown,no
33,admin.,single,tertiary,no,no,no,unknown,may,unknown,no
46,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
36,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
51,technician,single,secondary,no,yes,no,unknown,may,unknown,no
40,retired,single,primary,no,no,no,unknown,may,unknown,no
42,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
51,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
49,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
48,management,married,secondary,no,yes,no,unknown,may,unknown,no
32,technician,divorced,tertiary,no,no,no,unknown,may,unknown,no
31,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
55,management,single,tertiary,no,no,no,unknown,may,unknown,no
40,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
47,technician,married,tertiary,no,yes,no,unknown,may,unknown,no
57,technician,married,unknown,no,yes,no,unknown,may,unknown,no
41,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
48,blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
42,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
30,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
58,management,single,tertiary,no,yes,no,unknown,may,unknown,no
45,management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
49,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
42,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
53,technician,married,secondary,no,yes,yes,unknown,may,unknown,no
51,admin.,single,secondary,yes,no,no,unknown,may,unknown,no
32,services,single,secondary,no,yes,no,unknown,may,unknown,no
41,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
43,management,divorced,secondary,no,yes,no,unknown,may,unknown,no
40,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,no
50,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
34,management,married,tertiary,no,yes,no,unknown,may,unknown,no
53,services,married,unknown,no,no,no,unknown,may,unknown,no
45,technician,married,secondary,no,yes,no,unknown,may,unknown,no
39,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
44,services,married,tertiary,no,yes,no,unknown,may,unknown,no
55,management,married,tertiary,no,yes,no,unknown,may,unknown,no
46,management,single,tertiary,no,yes,no,unknown,may,unknown,no
45,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
34,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
36,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
59,unknown,divorced,unknown,no,no,no,unknown,may,unknown,no
31,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
44,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
33,entrepreneur,single,tertiary,no,yes,no,unknown,may,unknown,no
40,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
46,admin.,single,tertiary,no,yes,no,unknown,may,unknown,no
48,management,married,tertiary,no,yes,no,unknown,may,unknown,no
42,services,married,secondary,no,yes,no,unknown,may,unknown,no
27,services,married,secondary,no,yes,no,unknown,may,unknown,no
48,admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
59,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
46,technician,married,tertiary,no,yes,no,unknown,may,unknown,no
38,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
43,management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
38,admin.,divorced,tertiary,no,yes,no,unknown,may,unknown,no
23,student,single,secondary,no,yes,no,unknown,may,unknown,no
34,services,married,secondary,no,yes,no,unknown,may,unknown,no
38,admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
37,blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
25,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
48,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
49,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
38,admin.,single,secondary,no,no,no,unknown,may,unknown,no
43,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
33,management,married,tertiary,no,yes,no,unknown,may,unknown,no
55,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
38,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
49,services,married,secondary,no,yes,yes,unknown,may,unknown,no
40,management,married,secondary,no,no,no,unknown,may,unknown,no
43,admin.,married,unknown,no,no,no,unknown,may,unknown,no
38,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
58,services,married,secondary,no,yes,yes,unknown,may,unknown,no
57,technician,married,unknown,no,yes,no,unknown,may,unknown,no
32,unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
56,management,married,tertiary,no,yes,yes,unknown,may,unknown,yes
58,blue-collar,divorced,unknown,no,yes,no,unknown,may,unknown,no
60,retired,divorced,secondary,no,yes,no,unknown,may,unknown,yes
37,technician,married,tertiary,no,yes,no,unknown,may,unknown,no
46,technician,divorced,tertiary,no,yes,no,unknown,may,unknown,no
27,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
43,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
32,technician,single,secondary,no,yes,yes,unknown,may,unknown,no
40,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
38,admin.,married,secondary,no,no,no,unknown,may,unknown,no
34,blue-collar,married,secondary,no,no,yes,unknown,may,unknown,no
47,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
42,housemaid,married,primary,no,yes,no,unknown,may,unknown,no
48,technician,married,secondary,no,yes,yes,unknown,may,unknown,no
29,self-employed,single,tertiary,no,yes,no,unknown,may,unknown,no
50,services,married,secondary,no,yes,no,unknown,may,unknown,no
52,technician,married,unknown,no,no,no,unknown,may,unknown,no
50,management,married,tertiary,no,no,no,unknown,may,unknown,no
58,retired,married,tertiary,no,no,no,unknown,may,unknown,no
46,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
38,technician,married,secondary,no,yes,no,unknown,may,unknown,no
46,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
32,services,single,secondary,no,yes,no,unknown,may,unknown,no
51,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
39,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
48,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
36,entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,no
34,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
40,technician,married,secondary,no,no,no,unknown,may,unknown,no
43,unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
52,blue-collar,divorced,primary,no,yes,yes,unknown,may,unknown,no
33,technician,married,secondary,yes,yes,no,unknown,may,unknown,no
49,management,single,tertiary,no,yes,no,unknown,may,unknown,no
32,management,single,tertiary,no,yes,no,unknown,may,unknown,no
39,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
40,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
38,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
43,management,married,secondary,no,yes,no,unknown,may,unknown,no
39,services,married,secondary,no,yes,no,unknown,may,unknown,no
54,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
38,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
40,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
55,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
42,management,married,tertiary,no,yes,no,unknown,may,unknown,no
39,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
40,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
32,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
55,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
45,blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
35,management,single,tertiary,no,yes,no,unknown,may,unknown,no
58,technician,divorced,secondary,no,no,no,unknown,may,unknown,no
35,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
49,services,married,primary,no,yes,no,unknown,may,unknown,no
34,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
36,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
24,self-employed,single,secondary,no,yes,no,unknown,may,unknown,no
34,technician,married,secondary,no,yes,no,unknown,may,unknown,no
51,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
